"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 21:06:04 MSK 2024","Tue May 28 21:06:07 MSK 2024","3161","","Проверка раздела ""Промо"": Проверка наличия подарка на ДР","","","","Given пользователь находится на странице ""Промо""",""
"skipped","Tue May 28 21:06:17 MSK 2024","Tue May 28 21:06:17 MSK 2024","1","","Проверка раздела ""Промо"": Проверка наличия подарка на ДР","","","","Then убеждается в наличии подарка на ДР",""
"passed","Tue May 28 21:06:33 MSK 2024","Tue May 28 21:06:37 MSK 2024","3145","","Проверка раздела ""Промо"": Проверка наличия двух новостей","","","","Given пользователь находится на странице ""Промо""",""
"failed","Tue May 28 21:05:51 MSK 2024","Tue May 28 21:05:51 MSK 2024","2","","","","","","hook:",""
"failed","Tue May 28 21:06:17 MSK 2024","Tue May 28 21:06:17 MSK 2024","1","","","","","","hook:",""
"failed","Tue May 28 21:06:37 MSK 2024","Tue May 28 21:06:37 MSK 2024","1","","","","","","hook:",""
"skipped","Tue May 28 21:06:30 MSK 2024","Tue May 28 21:06:30 MSK 2024","1","","Проверка раздела ""Промо"": Проверка наличия кнопки ""Узнать больше"" в расписании лотерей","","","","Then убеждается в наличии кнопки ""Узнать больше""",""
"broken","Tue May 28 21:06:33 MSK 2024","Tue May 28 21:06:33 MSK 2024","3","","Проверка раздела ""Промо"": Проверка наличия блока ""Как получить кешбэк""","","","","When пользователь переходит в раздел ""Кешбэк""",""
"skipped","Tue May 28 21:05:51 MSK 2024","Tue May 28 21:05:51 MSK 2024","1","","Проверка раздела ""Промо"": Проверка наличия статуса ""ELITE""","","","","Then убеждается в наличии статуса ""ELITE""",""
"failed","Tue May 28 21:06:33 MSK 2024","Tue May 28 21:06:33 MSK 2024","0","","","","","","hook:",""
"broken","Tue May 28 21:06:37 MSK 2024","Tue May 28 21:06:37 MSK 2024","1","","Проверка раздела ""Промо"": Проверка наличия двух новостей","","","","Then убеждается в наличии ""2"" новостей",""
"passed","Tue May 28 21:05:40 MSK 2024","Tue May 28 21:05:41 MSK 2024","163","","Проверка раздела ""Промо"": Проверка наличия статуса ""ELITE""","","","","Given пользователь находится на странице ""Промо""",""
"failed","Tue May 28 21:06:30 MSK 2024","Tue May 28 21:06:30 MSK 2024","1","","","","","","hook:",""
"skipped","Tue May 28 21:06:33 MSK 2024","Tue May 28 21:06:33 MSK 2024","1","","Проверка раздела ""Промо"": Проверка наличия блока ""Как получить кешбэк""","","","","Then убеждается в наличии блока ""Как получить кешбэк""",""
"broken","Tue May 28 21:06:07 MSK 2024","Tue May 28 21:06:17 MSK 2024","10043","","Проверка раздела ""Промо"": Проверка наличия подарка на ДР","","","","When пользователь переходит в раздел ""Бонусы""",""
"broken","Tue May 28 21:05:41 MSK 2024","Tue May 28 21:05:51 MSK 2024","10029","","Проверка раздела ""Промо"": Проверка наличия статуса ""ELITE""","","","","When пользователь переходит в раздел ""Статусы""",""
"broken","Tue May 28 21:06:37 MSK 2024","Tue May 28 21:06:37 MSK 2024","2","","Проверка раздела ""Промо"": Проверка наличия двух новостей","","","","When пользователь переходит в раздел ""Новости""",""
"failed","Tue May 28 21:06:04 MSK 2024","Tue May 28 21:06:04 MSK 2024","1","","","","","","hook:",""
"passed","Tue May 28 21:06:17 MSK 2024","Tue May 28 21:06:20 MSK 2024","3148","","Проверка раздела ""Промо"": Проверка наличия кнопки ""Узнать больше"" в расписании лотерей","","","","Given пользователь находится на странице ""Промо""",""
"passed","Tue May 28 21:06:30 MSK 2024","Tue May 28 21:06:33 MSK 2024","3230","","Проверка раздела ""Промо"": Проверка наличия блока ""Как получить кешбэк""","","","","Given пользователь находится на странице ""Промо""",""
"skipped","Tue May 28 21:06:04 MSK 2024","Tue May 28 21:06:04 MSK 2024","0","","Проверка раздела ""Промо"": Проверка наличия турнира ""ROX STARS""","","","","Then убеждается в наличии турнира ""ROX STARS""",""
"broken","Tue May 28 21:06:20 MSK 2024","Tue May 28 21:06:30 MSK 2024","10049","","Проверка раздела ""Промо"": Проверка наличия кнопки ""Узнать больше"" в расписании лотерей","","","","When пользователь переходит в раздел ""Лотереи""",""
"passed","Tue May 28 21:05:51 MSK 2024","Tue May 28 21:05:54 MSK 2024","3140","","Проверка раздела ""Промо"": Проверка наличия турнира ""ROX STARS""","","","","Given пользователь находится на странице ""Промо""",""
"broken","Tue May 28 21:05:54 MSK 2024","Tue May 28 21:06:04 MSK 2024","10032","","Проверка раздела ""Промо"": Проверка наличия турнира ""ROX STARS""","","","","When пользователь переходит в раздел ""Турниры""",""
